,,,,,,ADVERTISING AND PRESS,,,,,,,Campaign materials,,,,,,,Campaign activity,,,Data and infrastructure,,,,,,,,Production Services,,,,Consultancy,,,,,Research,,,,,,,Miscellaneous,,,,,,,,Completely unclear
Supplier,Party,Total Spend,Expense Category,Supplier,More than 1 service,ADVERTISING AND PRESS,Merchandise,Newspaper or magazine advertising,Social media advertising,Online advertising (i.e. web advertising but not online newspapers or social media),"Other forms of advertising (billboards, advans, digital posters outside)",PR,Campaign materials,Design services,Campaign material printing,Paid leaflet delivery/ postage,Event costs/Venue hire,"Creative content owned by a third party (e.g. Getty images, PA images, demo music)",Translation/Braile/British Sign Language services,Campaign activity,Fundraising,Phone banking,Data and infrastructure,Campaign database or CRM,Data Services and analysis,IT infrastructure and support,Telecommunications services,Mobile application services,Email services,Website services,Production Services,Video editing/ production,Audio editing/production,Photos editing/production,Consultancy,Communication consultants,Design consultants,Social media strategy and consultancy,Data consultancy,Research,Polling,Focus groups,Ordinance survey data,Message testing,Archival research,Other forms of research,Miscellaneous,Catering,Accommodation,Expenses claimed by provider,Office infrastructure and supplies,Physical Security,Recruitment services/staffing costs,Transport,Completely unclear
Newbury CA,Conservative and Unionist Party,"£4,754.81",Advertising,Newbury CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,754.81"
South Perthshire And Ochil CA,Conservative and Unionist Party,"£4,542.20",Advertising,South Perthshire And Ochil CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,542.20"
Wolverhampton South West CA,Conservative and Unionist Party,"£9,905.36",Advertising,Wolverhampton South West CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£9,905.36"
Topham,Conservative and Unionist Party,"£458,688.06",Advertising,Topham,y,,,,,,,,,,,,,,,,,,,,,"£8,169.00",,,,,,"£221,040.00",,,,"£228,624.00",,,,,,,,,,,,,,"£4,734.06",,,,,
Gloucester Services,Conservative and Unionist Party,"£4,308.00",Advertising,Gloucester Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£4,308.00"
Chippenham CA,Conservative and Unionist Party,"£20,598.54",Advertising,Chippenham CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£20,598.54"
Stoke-On-Trent North CA,Conservative and Unionist Party,"£9,465.35",Advertising,Stoke-On-Trent North CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"£9,465.35"
The Jewish Chronicle,Conservative and Unionist Party,"£12,000.00",Advertising,The Jewish Chronicle,,,,"£12,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elisabetta Cordaro Limited / Stellar Comms,Conservative and Unionist Party,"£1,896.00",Advertising,Elisabetta Cordaro Limited / Stellar Comms,,,,,,,,,,,,,,,"£1,896.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Posterscope,Conservative and Unionist Party,"£157,080.00",Advertising,Posterscope,,,,,,,"£157,080.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
